sample_id,subtype_1,subtype_2,subtype_3
BA2645R,0.26562544720722814,0.4527470844060262,0.28162746838674557
BA2525R,0.37786691486663887,0.33589041424948635,0.28624267088387484
BA2876R,0.22959029195017827,0.4752733303125935,0.29513637773722823
BA2357R,0.23662134312240604,0.4400834779498955,0.3232951789276985
BA2546R,0.26648246828967886,0.2853344857126683,0.4481830459976529
BA2742R,0.2911895220896265,0.27694491283284867,0.43186556507752494
BA2316R,0.2802955962709675,0.27952584302909744,0.44017856069993516
BA2421R,0.24541432106041847,0.3685826879405664,0.38600299099901514
BA2087R,0.34654537364177534,0.30044951924649327,0.3530051071117314
BA2910R,0.409664574473212,0.29173886514395864,0.2985965603828294
BA2148R,0.20838134136144934,0.49193477861618284,0.29968388002236773
BA2063R,0.2997163358774077,0.3971443890401673,0.303139275082425
BA2329R,0.2634056477057176,0.28140759321432807,0.4551867590799543
BA3178R,0.4063625905530797,0.23557759856433663,0.35805981088258365
BA2072R,0.26610968325470363,0.2964746738274155,0.4374156429178809
BA3029R,0.3570076169022922,0.36671909575397194,0.27627328734373574
BA2733R,0.24891115529750732,0.436635137961894,0.31445370674059875
BA2995R,0.3164189103427389,0.39344189139762215,0.2901391982596389
BA2069R,0.3638546437770614,0.2521509674165115,0.383994388806427
BA2100R,0.2544266503147555,0.4618363445127814,0.2837370051724631
BA2681R,0.3034195112972791,0.28904478036526343,0.40753570833745745
BA2248R,0.41405714561566503,0.2822866670629395,0.3036561873213955
BA2832R,0.35830353647956265,0.26652121961477804,0.37517524390565926
BA2308R,0.3497938184904406,0.34450783063302365,0.30569835087653563
BA2413R,0.36277840433637387,0.33666043612137686,0.3005611595422493
BA2701R,0.23337736162450956,0.4061895161030692,0.3604331222724213
BA2634R,0.2845566605768834,0.34058426570865247,0.3748590737144641
BA2677R,0.2644410980678463,0.3339599496308728,0.40159895230128084
BA2937R,0.26284153511817226,0.3061533918890336,0.43100507299279406
BA2600R,0.24449514670940975,0.39458657034081496,0.3609182829497753
BA2019R,0.36093889996365625,0.2865631354901929,0.3524979645461508
BA2412R,0.25442069451909205,0.32209071706506237,0.42348858841584563
BA2334R,0.35896104095396797,0.31962540539967105,0.32141355364636104
BA2050R,0.3481636690424903,0.31162569974862714,0.34021063120888256
BA3230R,0.32675572740333875,0.2650256209356603,0.40821865166100096
BA2953R,0.30739894541886303,0.38567199555881904,0.306929059022318
BA2481R,0.34788425433451703,0.30737367781286973,0.34474206785261324
BA2731R,0.25480994417021874,0.35744737390472836,0.3877426819250528
BA2294R,0.33885695024065265,0.2956667220629444,0.365476327696403
BA2418R,0.4561543398960323,0.25582487377386565,0.28802078633010203
BA2816R,0.24480131494227597,0.43327122248484845,0.3219274625728755
BA2656R,0.43865939300563517,0.2669715946945365,0.29436901229982826
BA2814R,0.326072411772209,0.25167363912551804,0.422253949102273
BA2631R,0.45731947354917074,0.21117793734392898,0.3315025891069004
BA2023R,0.259352968992279,0.3009547419506551,0.43969228905706587
BA2375R,0.28737134984149076,0.3054205242579419,0.4072081259005673
BA2485R,0.5047073350270385,0.2150288582583516,0.2802638067146099
BA2455R,0.2911888509975419,0.3246194307019992,0.38419171830045884
BA2025R,0.3323611211462372,0.2624223481301891,0.4052165307235736
BA2636R,0.31159300173238647,0.32902761411636244,0.3593793841512511
BA2325R,0.2295069556643386,0.34288575861749526,0.42760728571816614
BA2169R,0.27198684823146513,0.4307038099561039,0.297309341812431
BA2156R,0.48392435825490737,0.2134600749676607,0.30261556677743184
BA2511R,0.2223692862596883,0.476650526230774,0.3009801875095378
BA2939R,0.4533419190176852,0.25723801409396396,0.2894200668883508
BA2168R,0.42307356142348373,0.2752766917316414,0.30164974684487483
BA2505R,0.2527231919566708,0.38273782722363986,0.3645389808196893
BA2860R,0.23932768611337013,0.3465210169699464,0.41415129691668334
BA2707R,0.2998493327702769,0.33895577570246527,0.3611948915272577
BA2871R,0.24982011858522596,0.36753589291589234,0.38264398849888176
BA2655R,0.25639261898625826,0.3909001902214438,0.352707190792298
BA2227R,0.46572995545025464,0.2616490633606542,0.27262098118909117
BA2125R,0.30080391362694653,0.28711290763409825,0.4120831787389551
BA2523R,0.4443078446054922,0.23922395626798293,0.31646819912652496
BA2603R,0.36301599297857345,0.23944521575638114,0.3975387912650455
