,feature,mean,scale
178,DoRothEA::E2F4,4.944932176497024,0.335396627950568
179,DoRothEA::E2F5,5.346421625479525,0.5025610230987232
180,DoRothEA::E2F6,-4.713506643013513,0.3522864266006785
181,DoRothEA::E2F7,5.265985897575692,0.48311624127872094
182,DoRothEA::E2F8,4.583964863250415,0.37447695608615794
183,DoRothEA::E4F1,4.768401655263284,0.301275114587263
184,DoRothEA::EBF1,3.344975065590515,0.5171893905207485
185,DoRothEA::EBF2,3.4116732090284594,1.3385730188042382
186,DoRothEA::EBF3,3.0882373241740266,0.7396947124361
187,DoRothEA::EBF4,4.2988469087340535,0.46491073079412976
188,DoRothEA::EGR1,4.425697988223749,0.634943970084392
189,DoRothEA::EGR2,3.725142296368989,0.8972027550789293
190,DoRothEA::EGR3,4.322250380697777,0.3419361049425965
191,DoRothEA::EGR4,4.373772917085829,0.31795416609462057
192,DoRothEA::EHF,3.8974573110893034,0.4589002565153619
193,DoRothEA::ELF1,4.5886367709177796,0.342234148806088
194,DoRothEA::ELF2,4.440857343363287,0.3012304194371551
195,DoRothEA::ELF3,3.263909294826861,0.890580369106248
196,DoRothEA::ELF4,4.4991971762153256,0.34716161565673664
197,DoRothEA::ELF5,4.825490388500837,0.43565403325450386
198,DoRothEA::ELK1,4.824359666339548,0.6812320712281249
199,DoRothEA::ELK3,-4.599689842190075,0.41719972634116115
200,DoRothEA::ELK4,5.559820336680003,0.6017189368556246
201,DoRothEA::EMX1,4.381459443351196,0.30428283681148116
202,DoRothEA::EMX2,4.289588658855245,0.4545245104184717
203,DoRothEA::EN1,4.301387144259077,0.2963134791297081
204,DoRothEA::EN2,4.3115242664506646,0.2988631010993543
205,DoRothEA::EOMES,3.3105425487172297,0.8956287826502759
206,DoRothEA::EPAS1,4.262319921491659,1.5218225282093987
207,DoRothEA::ERF,-4.650062158752051,0.2820583049234603
208,DoRothEA::ERG,2.6216535819430815,1.6831634556874602
209,DoRothEA::ESR1,3.513593744177091,0.5129249353515748
210,DoRothEA::ESR2,4.428375858684985,0.7946552106873429
211,DoRothEA::ESRRA,4.083133258780839,0.626522001075425
212,DoRothEA::ESRRB,4.286016462408046,0.3134669840316526
213,DoRothEA::ESRRG,4.278205604763514,0.32312442774787686
214,DoRothEA::ESX1,4.311337964910094,0.3229859476994528
215,DoRothEA::ETS1,3.9706125408287316,0.38509793298289047
216,DoRothEA::ETS2,4.586907916257769,0.668188782897092
217,DoRothEA::ETV1,3.8515954754403183,0.5311444719664052
218,DoRothEA::ETV2,4.768198111953574,0.2505033015906986
