,feature,mean,scale
114,DoRothEA::BHLHE41,-5.282421840706238,0.09935206436678035
115,DoRothEA::BNC1,4.350744063128117,0.22297967284968773
116,DoRothEA::BNC2,4.723917963224894,0.21112465890191962
117,DoRothEA::BPTF,4.7431400282885425,0.38850933544784544
118,DoRothEA::BRF2,5.38275421419693,0.07218812639344405
119,DoRothEA::BSX,5.266137238723872,0.0532530890634913
120,DoRothEA::CASZ1,5.049442659497737,0.1254172096563161
121,DoRothEA::CBX2,4.461836049443454,0.1777579813349846
122,DoRothEA::CDC5L,5.774475257009595,0.08141759420243268
123,DoRothEA::CDX1,7.550671852899575,0.5000389388937663
124,DoRothEA::CDX2,6.201428571428571,2.082173905164443
125,DoRothEA::CEBPA,5.367096317926724,0.22062674658628353
126,DoRothEA::CEBPB,5.360693069306931,0.39298154574401706
127,DoRothEA::CEBPD,8.637322017916077,0.529898113968505
128,DoRothEA::CEBPE,2.90390099009901,0.7491759443360837
129,DoRothEA::CEBPG,5.292572842998585,0.21784551280772096
130,DoRothEA::CEBPZ,5.273882273019929,0.09359689495872048
131,DoRothEA::CENPB,5.258626395740619,0.06412887702062953
132,DoRothEA::CIC,5.690646491384356,0.10912760498033043
133,DoRothEA::CLOCK,4.446544554455445,0.35365298985562443
134,DoRothEA::CREB1,4.858536990344997,0.22763695371919163
135,DoRothEA::CREB3,6.891111335623357,0.16268385248227782
136,DoRothEA::CREB3L1,5.004746974697469,0.2514941011177303
137,DoRothEA::CREB3L2,5.274955712714129,0.08843165598075887
138,DoRothEA::CREB3L3,5.010898161244696,0.6741847413999065
139,DoRothEA::CREB3L4,4.711130540647019,0.1952323439701801
140,DoRothEA::CREB5,1.196417458072338,0.4141790775141586
141,DoRothEA::CREBL2,5.436320126618742,0.10209945439926191
142,DoRothEA::CREBZF,5.3547839329081155,0.1987133793381295
143,DoRothEA::CREM,4.433679867986799,0.21297691720877118
144,DoRothEA::CRX,5.162205382993172,0.050782256195708426
145,DoRothEA::CSRNP1,6.18284131474372,0.6094656785203405
146,DoRothEA::CSRNP2,4.952090088129692,0.13595469818571546
147,DoRothEA::CSRNP3,3.983943368859179,0.26331703502126697
148,DoRothEA::CTCF,3.1146666506844385,0.09776423975584163
149,DoRothEA::CTCFL,5.800568128241396,0.1730696927008721
150,DoRothEA::CUX1,5.112075907590759,0.16990046097934
151,DoRothEA::CUX2,5.011224034168123,0.08042570425516948
152,DoRothEA::CXXC1,5.017243477968393,0.14171652251434702
153,DoRothEA::CXXC4,5.596011275120186,0.10484035615674994
154,DoRothEA::DBP,5.097364787499158,0.07160569685943623
155,DoRothEA::DDIT3,2.50406600660066,0.23193728670188427
156,DoRothEA::DEAF1,5.695705027645621,0.11754377715333239
157,DoRothEA::DLX1,4.995444345887373,0.07015269903573865
158,DoRothEA::DLX2,5.225915708147634,0.06337305419915909
159,DoRothEA::DLX3,4.994372565076056,0.05282580518281592
160,DoRothEA::DLX4,-4.967658161793988,0.06076663505166046
161,DoRothEA::DLX5,4.625308816595945,0.4946056754533802
162,DoRothEA::DLX6,4.950960790447176,0.06172764185488712
163,DoRothEA::DMBX1,-5.059464789558156,0.06392027231263879
164,DoRothEA::DMRT1,0.0,1.0
165,DoRothEA::DMRT2,0.0,1.0
166,DoRothEA::DMRT3,4.823275779818049,0.06531786347690842
167,DoRothEA::DMRTA1,4.034386670646096,0.23894026942613977
168,DoRothEA::DMRTB1,0.0,1.0
169,DoRothEA::DMRTC2,0.0,1.0
170,DoRothEA::DMTF1,4.978162990589885,0.18679215866473173
171,DoRothEA::DNMT1,3.1200718528995757,0.2667090689381429
172,DoRothEA::DR1,-0.5000424328147101,0.2319148771038354
173,DoRothEA::DUX4,5.065682853999686,0.19006276676204012
174,DoRothEA::DUXA,5.2898962502633236,0.05666001724779679
175,DoRothEA::E2F1,4.738925927960341,0.24990292458374902
176,DoRothEA::E2F2,5.301608094875421,0.8231342141310312
177,DoRothEA::E2F3,5.241112254082551,0.6031948798980028
178,DoRothEA::E2F4,5.1413089399727685,0.31073045120229037
179,DoRothEA::E2F5,6.227279156487077,0.37332423642026996
180,DoRothEA::E2F6,-5.47432325100642,0.15159421036832363
181,DoRothEA::E2F7,5.264929540573105,0.20903900459271443
182,DoRothEA::E2F8,4.845732611770494,0.4208539526007533
183,DoRothEA::E4F1,5.0906507354032104,0.13597638128024003
184,DoRothEA::EBF1,5.05045665791069,0.28810918683766873
185,DoRothEA::EBF2,4.421828368104668,0.3302775094338169
186,DoRothEA::EBF3,4.384535832154644,0.27015120338543197
187,DoRothEA::EBF4,4.858303379250969,0.15536939401837138
188,DoRothEA::EGR1,5.112348612093352,0.3015458873127619
189,DoRothEA::EGR2,4.014467569205899,0.45496103193573695
190,DoRothEA::EGR3,5.32515948885529,0.14739992970017987
191,DoRothEA::EGR4,5.1759347351352,0.08495781653180624
192,DoRothEA::EHF,4.312601131541726,0.24481134820112987
193,DoRothEA::ELF1,6.15581360309944,0.2300737197420529
194,DoRothEA::ELF2,5.314279683363037,0.059980322207865984
195,DoRothEA::ELF3,4.356178520913315,0.34165234578645526
196,DoRothEA::ELF4,5.689254810279807,0.13853285533318127
197,DoRothEA::ELF5,5.322015974706715,0.22378262705846785
198,DoRothEA::ELK1,6.970086280056576,0.4414418941147924
199,DoRothEA::ELK3,-5.647247681548095,0.11484209165454795
200,DoRothEA::ELK4,6.373067130888913,0.3067352634375503
201,DoRothEA::EMX1,5.310205499233543,0.07458335522541365
202,DoRothEA::EMX2,5.095608459296876,0.10324475573629786
203,DoRothEA::EN1,5.218546804680469,0.05761964384376063
204,DoRothEA::EN2,5.0773499322721385,0.06718555222395546
205,DoRothEA::EOMES,4.435599110931501,0.5279121248022477
206,DoRothEA::EPAS1,4.180732673267327,0.8548503036734505
207,DoRothEA::ERF,-5.387621605238295,0.08741297247296417
208,DoRothEA::ERG,4.2290311173974535,0.6116379264424542
209,DoRothEA::ESR1,4.588059012049487,0.21037052358864805
210,DoRothEA::ESR2,6.315363507779349,0.4986426095115722
211,DoRothEA::ESRRA,4.573170290450972,0.21350509853932073
212,DoRothEA::ESRRB,4.934858502461542,0.059959660275884084
213,DoRothEA::ESRRG,4.774190479222474,0.07623140496211919
214,DoRothEA::ESX1,5.03383160084716,0.07665227460523577
215,DoRothEA::ETS1,5.182849965167093,0.19690551427725292
216,DoRothEA::ETS2,5.902667373880245,0.43187964683330865
217,DoRothEA::ETV1,5.256189979900245,0.23519992535467404
218,DoRothEA::ETV2,5.2349250190560435,0.09056482404554889
219,DoRothEA::ETV3,-5.689901695109431,0.0971589378312872
220,DoRothEA::ETV4,6.787373880245167,0.7459913793536218
221,DoRothEA::ETV5,5.281512622466435,0.06777544453079917
222,DoRothEA::ETV6,-5.394465296019398,0.16202520598370582
223,DoRothEA::ETV7,-5.815043008060204,0.3144548749198166
224,DoRothEA::EVX1,5.057980244017433,0.0681620237490315
225,DoRothEA::EVX2,4.995998544375936,0.0498454041570431
226,DoRothEA::FEV,-5.275114638447971,0.06265310160253341
227,DoRothEA::FEZF1,4.966877887788779,0.07288683172472878
228,DoRothEA::FEZF2,0.0,1.0
229,DoRothEA::FIGLA,4.950028835181655,0.08396065249194629
230,DoRothEA::FIZ1,-5.13408354948572,0.1715658125872703
231,DoRothEA::FLI1,6.893779349363508,0.813474881427558
232,DoRothEA::FOS,4.605468108035293,0.26978155642525153
233,DoRothEA::FOSB,5.327723167001086,0.12886101655564236
234,DoRothEA::FOSL1,4.023451202263083,0.8096293624114386
235,DoRothEA::FOSL2,5.316379066478076,0.9815289190684747
236,DoRothEA::FOXA1,5.143705799151344,0.7471185275297485
237,DoRothEA::FOXA2,4.503253182461104,1.0412948348425566
238,DoRothEA::FOXA3,4.86655303450029,0.0708590984959377
239,DoRothEA::FOXB1,5.158830168731159,0.0841310196091372
240,DoRothEA::FOXC1,5.170274246590586,0.09057726423535652
241,DoRothEA::FOXC2,4.931977840641207,0.10101641221016465
242,DoRothEA::FOXD1,4.9445665697522125,0.05782505814973802
243,DoRothEA::FOXD2,4.98935881143918,0.07486985283702181
244,DoRothEA::FOXD3,4.734605728429986,0.09663153060318995
245,DoRothEA::FOXE1,4.703281471004243,0.6284972164161229
246,DoRothEA::FOXF1,5.015913373008459,0.46033849854044034
247,DoRothEA::FOXF2,4.7502471790036145,0.07784842089576587
248,DoRothEA::FOXG1,4.944235901851054,0.07789246331266199
249,DoRothEA::FOXH1,5.102173398755805,0.06385306040180017
250,DoRothEA::FOXI1,5.22277173737003,0.08455510846967253
251,DoRothEA::FOXJ1,4.1447127365797805,0.2972047003031268
252,DoRothEA::FOXJ2,5.695823582358236,0.17388602979141848
253,DoRothEA::FOXJ3,5.312271451300708,0.08645032395539612
254,DoRothEA::FOXK1,5.436391796322489,0.1613009404622459
255,DoRothEA::FOXK2,5.66382072135785,0.13838139618679407
256,DoRothEA::FOXL1,4.892324394538579,0.0793724257175574
257,DoRothEA::FOXL2,6.942918434700613,1.0008411678800628
258,DoRothEA::FOXM1,4.9250695426685525,0.6401116373683703
259,DoRothEA::FOXN1,3.663544554455446,0.4853117858510184
260,DoRothEA::FOXN2,5.341745161405833,0.11900063184718371
261,DoRothEA::FOXN3,-5.494386104706361,0.0647992518956382
262,DoRothEA::FOXN4,3.651892068327712,0.38025519352603165
263,DoRothEA::FOXO1,2.938728504429391,0.3857427769597235
264,DoRothEA::FOXO3,5.68855972296737,0.44275781290871347
265,DoRothEA::FOXO4,5.8337366593802225,0.5847483909102911
266,DoRothEA::FOXO6,4.727694483734088,0.09539032987735854
267,DoRothEA::FOXP1,-5.34868066781168,0.11709167321229297
268,DoRothEA::FOXP2,-4.873891519586741,0.24540073339811708
269,DoRothEA::FOXP3,3.56269801980198,0.5593420592882903
270,DoRothEA::FOXP4,-5.129685701788768,0.10967922188088584
271,DoRothEA::FOXQ1,5.04966886031736,0.050674668037806236
272,DoRothEA::FOXS1,-4.6537999018560745,0.19471533236449023
273,DoRothEA::GABPA,5.570236239429414,0.0922336852558305
274,DoRothEA::GATA1,5.017326732673268,0.29698162741536843
275,DoRothEA::GATA2,2.352185289957567,0.24454404170583838
276,DoRothEA::GATA3,5.236811010771407,0.24555463903482472
277,DoRothEA::GATA4,6.130820367751061,0.9464748668250027
278,DoRothEA::GATA5,4.783771672941942,0.06677855741636705
